"Date","Open","High","Low","Close"
"10 Jan 2018","9551.65","9581.7","9470.75","9529.65"
"09 Jan 2018","9550.65","9567.85","9474.5","9529.40"
"08 Jan 2018","9469.7","9549.85","9469.3","9535.10"
"05 Jan 2018","9347.8","9420.2","9341.25","9398.70"
"04 Jan 2018","9292.25","9315.35","9253.75","9310.00"
"03 Jan 2018","9170.45","9240.05","9170.25","9226.45"
"02 Jan 2018","9235.65","9257.2","9017.7","9108.90"
"01 Jan 2018","9127","9260.7","9109.35","9178.40"
"29 Dec 2017","9061.55","9115.3","9061.55","9093.20"
"28 Dec 2017","8998.7","9050.5","8980.4","9014.00"
"27 Dec 2017","9031.9","9060.25","8922.25","8970.00"
"26 Dec 2017","8959.95","9016.35","8922.3","9004.50"
"22 Dec 2017","8886.6","8955.75","8882.15","8928.30"
"21 Dec 2017","8750.55","8856.45","8746.65","8849.00"
"20 Dec 2017","8707.95","8747.55","8685.5","8716.90"
"19 Dec 2017","8622.85","8684.8","8620.55","8683.00"
"18 Dec 2017","8520.75","8622.9","8280.1","8570.30"
"15 Dec 2017","8548.3","8596.5","8537.65","8552.10"
"14 Dec 2017","8527.5","8540.75","8388.55","8459.60"
"13 Dec 2017","8600.2","8630.35","8461.6","8486.70"
"12 Dec 2017","8685","8685.3","8585.6","8592.90"
"11 Dec 2017","8692.2","8718.05","8661.35","8672.00"
"08 Dec 2017","8595.9","8669.85","8595.7","8636.50"
"07 Dec 2017","8480.15","8584.6","8478.65","8572.10"
"06 Dec 2017","8489.2","8559.8","8442.05","8450.60"
"05 Dec 2017","8510.6","8511.65","8408.2","8492.60"
"04 Dec 2017","8622.9","8658.3","8485.45","8513.70"
"01 Dec 2017","8765.9","8823.3","8560.75","8577.00"
"30 Nov 2017","8681.05","8735.05","8612.65","8712.40"
"29 Nov 2017","8771.5","8789.3","8689.3","8706.60"
"28 Nov 2017","8738.1","8782.45","8707.8","8746.00"
"27 Nov 2017","8644.6","8701.4","8618.95","8696.30"
"24 Nov 2017","8650.35","8677.55","8634.1","8643.60"
"23 Nov 2017","8580.45","8631.2","8534.4","8611.10"
"22 Nov 2017","8529.25","8559.95","8466.95","8538.40"
"21 Nov 2017","8522.45","8551.25","8461.45","8494.40"
"20 Nov 2017","8444.95","8492.4","8430.55","8475.70"
"17 Nov 2017","8442.45","8500.15","8419.15","8430.40"
"16 Nov 2017","8306.45","8362","8288.25","8354.40"
"15 Nov 2017","8448.4","8448.4","8246.8","8288.30"
"14 Nov 2017","8522.1","8545.4","8430.1","8447.30"
"13 Nov 2017","8592.6","8609.75","8492.4","8501.40"
"10 Nov 2017","8553","8612.75","8491.85","8559.40"
"09 Nov 2017","8541.25","8588.45","8443","8536.50"
"08 Nov 2017","8578.65","8605.9","8411.9","8466.80"
"07 Nov 2017","8768.3","8781.7","8521.55","8558.70"
"06 Nov 2017","8695.3","8757.05","8684.85","8709.80"
"03 Nov 2017","8699.15","8728.35","8652.15","8697.70"
"02 Nov 2017","8636.4","8706.9","8610.55","8662.20"
"01 Nov 2017","8616.5","8660.65","8589.15","8598.50"
"31 Oct 2017","8512.9","8562.9","8480.5","8549.60"
"30 Oct 2017","8414.65","8514.6","8413.4","8507.80"
"27 Oct 2017","8404.7","8427","8356.2","8372.20"
"26 Oct 2017","8321.5","8388.45","8289.8","8353.60"
"25 Oct 2017","8325.7","8351.7","8216.15","8306.80"
"24 Oct 2017","8116.75","8197.55","8112.3","8177.40"
"23 Oct 2017","8097.9","8129.3","8050.6","8081.70"
"19 Oct 2017","8107.75","8122.7","8041.2","8068.00"
"18 Oct 2017","8069.35","8094.05","8045.4","8079.30"
"17 Oct 2017","8023.6","8083.3","7999.9","8066.70"
"16 Oct 2017","8023.45","8047.6","7964.75","8009.90"
"13 Oct 2017","7967.65","8031.85","7959.6","7988.80"
"12 Oct 2017","7902.55","7942.6","7858.35","7940.30"
"11 Oct 2017","7993.25","8010.45","7796.9","7847.60"
"10 Oct 2017","7915.15","7964.3","7906.55","7958.30"
"09 Oct 2017","7883.1","7916.1","7849.05","7894.40"
"06 Oct 2017","7802.6","7873.85","7798.9","7869.20"
"05 Oct 2017","7710.1","7775.45","7708.85","7765.20"
"04 Oct 2017","7668.4","7701.4","7630.95","7689.70"
"03 Oct 2017","7668.4","7678.75","7608.8","7630.80"
"29 Sep 2017","7535.4","7636.9","7534.75","7584.50"
"28 Sep 2017","7436.35","7499.3","7378.55","7480.50"
"27 Sep 2017","7639.75","7665.95","7384.9","7407.50"
"26 Sep 2017","7535.05","7619.9","7518.45","7583.90"
"25 Sep 2017","7716.9","7726.15","7359.25","7527.90"
"22 Sep 2017","7925.05","7925.25","7690.75","7708.00"
"21 Sep 2017","8020.3","8038.1","7864.35","7958.10"
"20 Sep 2017","8081.05","8092.95","8001.35","8012.70"
"19 Sep 2017","8053.5","8086.9","7993.55","8049.30"
"18 Sep 2017","7992.65","8057.95","7991.85","8031.60"
"15 Sep 2017","7933.2","7960.7","7887.95","7934.60"
"14 Sep 2017","7963.85","8006.7","7925.4","7962.50"
"13 Sep 2017","8008.65","8040.65","7915.25","7934.00"
"12 Sep 2017","7967.05","8011.15","7959.15","8002.20"
"11 Sep 2017","7936.2","7951","7910.35","7919.00"
"08 Sep 2017","7966.55","7975.65","7856.2","7876.70"
"07 Sep 2017","7960.2","7984.5","7916.55","7932.10"
"06 Sep 2017","7829.55","7918.5","7797.5","7903.80"
"05 Sep 2017","7818.9","7886","7806.4","7873.90"
"04 Sep 2017","7832.55","7856.2","7670.5","7787.80"
"01 Sep 2017","7778.65","7843.85","7776.25","7832.50"
"31 Aug 2017","7690.4","7755.9","7664.75","7748.40"
"30 Aug 2017","7584.65","7661.05","7584.4","7655.80"
"29 Aug 2017","7590.8","7622.65","7514.2","7522.30"
"28 Aug 2017","7563.8","7626.55","7556.75","7620.70"
"24 Aug 2017","7492.55","7539.25","7482.75","7515.50"
"23 Aug 2017","7419.65","7476.7","7418","7468.10"
"22 Aug 2017","7456.65","7496.85","7340.3","7366.20"
