Date,Open,High,Low,Close,change,lookback_mean,lookback_std
2003-02-25,1070.1,1073.25,1054.9,1055.5,-0.013643584711709102,-0.00040109154802112,0.015546298920653104
2003-02-26,1055.6,1059.6,1048.2,1049.6,-0.005589767882520219,-0.0004076761626588092,0.015537518332499719
2003-02-27,1049.6,1057.45,1044.9,1052.9,0.003144054878048954,-0.00040317460240442676,0.015528171196760872
2003-02-28,1053.65,1068.65,1053.65,1063.4,0.009972457023459017,-0.00039004089148561225,0.015522717675621312
2003-03-03,1063.55,1070.85,1057.55,1058.8,-0.004325747602031349,-0.00039501650047492424,0.015513521216806573
2003-03-04,1058.7,1058.7,1045.2,1046.6,-0.011522478277295094,-0.00040906632595070726,0.015508753007386644
2003-03-05,1046.55,1046.55,1029.9,1040.7,-0.0056373017389641355,-0.0004156593088170546,0.01550007099497301
2003-03-06,1040.3,1040.75,1029.55,1031.2,-0.00912847122129336,-0.00042663262356828417,0.015493380621133951
2003-03-07,1031.05,1031.05,1014.3,1017.1,-0.013673390224980627,-0.00044329521174616137,0.015490747072300763
2003-03-10,1017.1,1021.5,1004.35,1006.7,-0.010225149936092791,-0.00045558397396267724,0.015484883311964898
2003-03-11,1006.65,1016.7,998.95,1014.5,0.00774808781166182,-0.00044529078477117853,0.015477881636420476
2003-03-12,1014.25,1017.75,1000.05,1001.7,-0.01261705273533756,-0.00046054361929569784,0.015474168494945477
2003-03-13,1001.5,1006.4,994.2,999.65,-0.0020465209144455107,-0.00046252857210564755,0.015464571645554561
2003-03-17,999.7,1000.85,982.7,993.0,-0.006652328314910196,-0.0004702658217841532,0.015456440497156151
2003-03-19,993.35,1011.45,992.9,1003.9,0.010976837865055366,-0.00045597480594540226,0.015452071597076325
2003-03-20,1003.45,1028.9,1001.75,1025.2,0.021217252714413853,-0.00042895083148111393,0.015461375354390813
2003-03-21,1025.55,1033.7,1022.05,1030.5,0.005169722980881734,-0.0004219786349526421,0.015452996163361547
2003-03-22,1030.6,1039.8,1030.6,1037.1,0.006404657933042124,-0.0004134877934501611,0.01544524767108083
2003-03-24,1037.15,1038.55,1011.95,1013.9,-0.022370070388583487,-0.0004407630513323142,0.015455026238547491
2003-03-25,1013.5,1013.5,998.4,1011.3,-0.002564355459118279,-0.0004433977813667881,0.015445604983883001
2003-03-26,1011.55,1019.9,1004.85,1013.8,0.0024720656580638784,-0.0004397850633501454,0.015436361539798936
2003-03-27,1013.9,1013.9,999.6,1002.7,-0.010948905109488961,-0.0004527914000409113,0.015431224020272766
2003-03-28,1002.8,1006.3,996.75,1000.6,-0.0020943452677770246,-0.0004548205148341574,0.01542178003294147
2003-03-31,1000.6,1000.6,974.1,978.2,-0.022386568059164478,-0.0004818967463703677,0.015431498521863598
2003-04-01,977.4,992.05,973.5,984.3,0.006235943569822029,-0.00047361334277456937,0.015423773991568822
2003-04-02,984.45,1002.1,984.45,999.4,0.01534085136645334,-0.00045413740101443647,0.01542424951353622
2003-04-03,999.55,1010.75,999.55,1009.1,0.009705823494096504,-0.00044164052414468136,0.015418866733236046
2003-04-04,1009.15,1018.25,1002.75,1016.9,0.007729660093152269,-0.0004316020712978792,0.015412042487738038
2003-04-07,1017.05,1033.45,1017.05,1031.5,0.014357360605762634,-0.0004134561048229583,0.015411281792036996
2003-04-08,1032.0,1032.0,1016.6,1018.1,-0.012990790111488102,-0.0004288695043409303,0.01540811622397253
2003-04-09,1018.0,1018.0,1002.3,1004.8,-0.01306354974953351,-0.0004443342292432468,0.015405015213960925
2003-04-10,1003.8,1003.8,958.2,962.2,-0.04239649681528654,-0.000495620491573373,0.015465302866141877
2003-04-11,958.9,965.15,935.7,949.8,-0.012887133652047486,-0.0005107505442723646,0.015461910822678457
2003-04-15,951.8,964.2,938.8,951.2,0.001473994525163288,-0.0005083301234559797,0.015452623874503595
2003-04-16,950.65,961.75,949.0,958.65,0.007832211942809012,-0.0004981711197211868,0.015445941755408005
2003-04-17,958.65,958.65,936.7,940.7,-0.01872424763991022,-0.0005203439622031685,0.015449616413166894
2003-04-21,941.5,949.7,941.5,947.2,0.006909748059955352,-0.0005113159038530367,0.015442388050488772
2003-04-22,947.1,951.4,937.85,943.5,-0.003906250000000048,-0.0005154359695037005,0.015433456589115218
2003-04-23,943.75,951.2,931.5,934.2,-0.009856915739268632,-0.0005267589752852338,0.015427517248841833
2003-04-24,934.2,943.15,927.8,929.7,-0.004816955684007707,-0.0005319529180318711,0.01541888700925854
2003-04-25,929.45,931.35,921.1,924.3,-0.005808325266215005,-0.000538333053882153,0.01541064298591616
2003-04-28,922.85,931.05,920.0,929.5,0.005625879043600612,-0.0005308883532813284,0.015402812729354273
2003-04-29,929.75,936.9,929.75,932.3,0.003012372243141425,-0.0005266142150468016,0.015394000604219934
2003-04-30,935.25,935.55,929.85,934.05,0.0018770781937144697,-0.0005237182000964867,0.015384939355460467
2003-05-02,930.9,940.2,930.8,938.3,0.004550077618971147,-0.0005176125492913512,0.015376675891122057
2003-05-05,937.45,948.95,936.65,945.4,0.007566876265586724,-0.0005078956156196227,0.015369976923603009
2003-05-06,945.85,955.0,943.2,951.85,0.0068225089909033695,-0.0004990956100895832,0.015362836993994263
