AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,Open Ended Schemes,Debt Scheme - Dynamic Bond,2009-01-01,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1-DIRECT - MONTHLY IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1-DIRECT - Quarterly IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1-Direct - IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1-REGULAR - MONTHLY IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1-Regular - IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1-Regular - Quarterly IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund -DIRECT - MONTHLY IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2013-01-02,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund -Direct - IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2015-01-14,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund -Direct - Quarterly IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2013-01-02,2022-10-07
