,Date,Scheme Name
998,2022-04-09,HDFC Income Fund - Growth Option - Direct Plan
999,2022-04-10,HDFC Income Fund - Growth Option - Direct Plan
1000,2022-01-01,HDFC Overnight Fund - Growth Option - Direct Plan
1007,2022-01-08,HDFC Overnight Fund - Growth Option - Direct Plan
1014,2022-01-15,HDFC Overnight Fund - Growth Option - Direct Plan
1021,2022-01-22,HDFC Overnight Fund - Growth Option - Direct Plan
1028,2022-01-29,HDFC Overnight Fund - Growth Option - Direct Plan
1035,2022-02-05,HDFC Overnight Fund - Growth Option - Direct Plan
1042,2022-02-12,HDFC Overnight Fund - Growth Option - Direct Plan
1049,2022-02-19,HDFC Overnight Fund - Growth Option - Direct Plan
1056,2022-02-26,HDFC Overnight Fund - Growth Option - Direct Plan
1063,2022-03-05,HDFC Overnight Fund - Growth Option - Direct Plan
1070,2022-03-12,HDFC Overnight Fund - Growth Option - Direct Plan
1076,2022-03-18,HDFC Overnight Fund - Growth Option - Direct Plan
1077,2022-03-19,HDFC Overnight Fund - Growth Option - Direct Plan
1084,2022-03-26,HDFC Overnight Fund - Growth Option - Direct Plan
1090,2022-04-01,HDFC Overnight Fund - Growth Option - Direct Plan
1091,2022-04-02,HDFC Overnight Fund - Growth Option - Direct Plan
1098,2022-04-09,HDFC Overnight Fund - Growth Option - Direct Plan
1100,2022-01-01,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1101,2022-01-02,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1107,2022-01-08,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1108,2022-01-09,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1114,2022-01-15,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1115,2022-01-16,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1121,2022-01-22,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1122,2022-01-23,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1125,2022-01-26,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1128,2022-01-29,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1129,2022-01-30,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1135,2022-02-05,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1136,2022-02-06,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1137,2022-02-07,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1142,2022-02-12,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1143,2022-02-13,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1149,2022-02-19,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1150,2022-02-20,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1156,2022-02-26,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1157,2022-02-27,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1159,2022-03-01,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1163,2022-03-05,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1164,2022-03-06,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1170,2022-03-12,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1171,2022-03-13,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1176,2022-03-18,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1177,2022-03-19,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1178,2022-03-20,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1184,2022-03-26,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1185,2022-03-27,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1190,2022-04-01,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1191,2022-04-02,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1192,2022-04-03,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1198,2022-04-09,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1199,2022-04-10,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
1200,2022-01-01,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1201,2022-01-02,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1207,2022-01-08,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1208,2022-01-09,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1214,2022-01-15,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1215,2022-01-16,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1221,2022-01-22,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1222,2022-01-23,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
1225,2022-01-26,HDFC Ultra Short Term Fund - Direct Plan-Growth Option
